"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"66","120101000100200006 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 006",8,1,30,51,3,2,3,16,13,2,5,3,4,4,7,5,5,1,5,0,0,1,2,0,81
"67","120101000100200008 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 008",9,1,33,43,1,7,4,7,12,6,5,8,3,6,1,4,5,3,1,1,0,2,0,0,76
"68","120101000100200009 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 009",6,1,36,46,7,5,4,9,6,5,5,9,6,4,4,4,3,4,0,3,1,0,2,1,82
"69","120101000100200010 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 010",11,1,35,49,1,3,4,7,9,10,6,6,5,6,5,9,7,1,0,3,1,1,0,0,84
"70","120101000100200011 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 011",8,2,45,57,3,6,3,13,11,7,3,9,1,11,7,11,5,1,4,4,2,1,0,0,102
"71","120101000100200012 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 012",10,1,33,43,3,0,1,9,8,6,1,5,4,2,6,11,5,5,2,3,2,2,0,1,76
"72","120101000100200013 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 013",9,4,30,36,7,8,3,1,4,3,3,5,6,5,6,4,3,4,3,0,1,0,0,0,66
"73","120101000100200014 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 014",8,1,28,36,3,4,3,7,3,1,6,3,4,6,4,5,2,1,5,4,1,2,0,0,64
"74","120101000100200015C"," Junin","Huancayo","Huancayo","Huancayo","Mza: 015C",11,2,29,29,4,2,1,8,4,1,7,3,5,4,6,2,5,1,3,1,0,0,1,0,58
"75","120101000100200016 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 016",10,0,49,58,4,11,13,6,9,2,10,3,7,9,7,6,8,3,0,5,0,3,1,0,107
"76","120101000100200017 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 017",22,2,156,176,19,26,22,23,25,29,21,31,18,17,28,19,22,5,10,10,5,1,1,0,332
"77","120101000100200018 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 018",3,4,46,48,3,8,5,7,11,9,4,9,9,5,6,4,6,5,2,1,0,0,0,0,94
"78","120101000100200019 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 019",7,3,63,66,8,10,9,10,6,13,10,10,14,11,9,5,4,3,3,0,3,1,0,0,129
"79","120101000100200020E"," Junin","Huancayo","Huancayo","Huancayo","Mza: 020E",1,2,52,57,10,11,15,7,11,6,9,8,7,5,5,6,3,3,1,1,1,0,0,0,109
"80","120101000100200020F"," Junin","Huancayo","Huancayo","Huancayo","Mza: 020F",12,0,55,79,8,8,8,13,14,11,11,14,6,5,7,9,8,4,2,2,3,1,0,0,134
"81","120101000100200020G"," Junin","Huancayo","Huancayo","Huancayo","Mza: 020G",2,3,25,33,4,4,2,8,10,2,5,6,3,3,4,0,2,3,0,0,1,0,0,1,58
"82","120101000100200027A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 027A",13,8,61,91,11,12,13,12,8,12,11,12,11,8,10,7,4,8,6,2,2,0,2,1,152
